Date,IBEX
2021/4/1,8595.599609
2021/5/1,8821.599609
2021/6/1,9167.299805
2021/7/1,8862.299805
2021/8/1,8723.299805
2021/9/1,8923.700195
2021/10/1,8693.400391
2021/11/1,9064.599609
2021/12/1,8357.099609
2022/1/1,8729.700195
2022/2/1,8679.900391
2022/3/1,8462.099609
2022/4/1,8481.700195
2022/5/1,8516.599609
2022/6/1,8881.299805
2022/7/1,8043
2022/8/1,8161.899902
2022/9/1,7838.799805
2022/10/1,7327.5
2022/11/1,8011.799805
2022/12/1,8423.099609
2023/1/1,8297.900391
2023/2/1,9048
2023/3/1,9419.299805
2023/4/1,9217.799805
2023/5/1,9257.5
